Employee_No,Attrition,Gender,Age,Education,Education_Field,Marital_Status,Department,Job_Role,Job_Level,Distance_From_Home,Business_Travel,Hourly_Rate,Daily_Rate,Monthly_Rate,Monthly_Income,Percent_Salary_Hike,Job_Involvement,Performance_Rating,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Over_Time,Stock_Option_Level,No_Companies_Worked,Total_Working_Years,Training_Times_LastYear,Years_At_Company,Years_In_Current_Role,Years_Since_LastPromotion,Years_with_Curr_Manager
927,Yes,Female,Between 39 to 44,Master,Life Sciences,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,57,1085,17725,2778,13,Low,Excellent,Medium,Very High,High,Good,Yes,1,4,0 - 10 years,1,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
930,No,Female,Between 25 to 31,Bachelor,Medical,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,77,995,9834,2377,18,High,Excellent,High,High,Medium,Better,No,1,5,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
932,Yes,Male,Between 39 to 44,Bachelor,Medical,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,70,1122,4303,2404,21,High,Outstanding,Very High,Low,Very High,Bad,Yes,0,7,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
933,No,Female,Between 25 to 31,Bachelor,Life Sciences,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,76,618,17808,2318,19,High,Excellent,Medium,High,High,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
934,No,Male,Between 32 to 38,Bachelor,Life Sciences,Divorced,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,83,546,6896,2008,14,High,Excellent,Medium,Medium,Medium,Better,No,2,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
936,No,Female,Between 39 to 44,College,Medical,Single,Sales,Sales Executive,2,10 - 19 km,Travel_Rarely,68,462,7824,6244,17,Medium,Excellent,High,High,Low,Better,No,0,7,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
939,No,Male,Between 32 to 38,Master,Other,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,100,1198,3339,2799,11,Medium,Excellent,High,Low,Medium,Better,Yes,0,3,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
940,No,Female,52 and more than 52,Bachelor,Technical Degree,Divorced,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Rarely,37,1272,9255,10552,13,Medium,Excellent,High,Medium,Very High,Better,Yes,1,2,21 - 30 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
941,No,Male,Between 25 to 31,Master,Life Sciences,Married,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,41,154,11737,2329,15,Medium,Excellent,Medium,High,Medium,Best,No,0,3,11 - 20 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
942,No,Female,Between 32 to 38,Below college,Life Sciences,Married,Research & Development,Healthcare Representative,2,20 - 30 km,Travel_Rarely,51,1137,19170,4014,25,High,Outstanding,Very High,Very High,Very High,Bad,Yes,1,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
944,No,Female,Between 45 to 51,College,Other,Married,Research & Development,Laboratory Technician,3,1 - 9 km,Travel_Rarely,51,527,22477,7403,11,High,Excellent,Low,Medium,High,Good,No,1,4,21 - 30 years,3,21 - 30 years,6 - 10 years,0 - 5 years,6 - 10 years
945,No,Male,Between 45 to 51,Master,Medical,Married,Research & Development,Research Scientist,1,20 - 30 km,Travel_Rarely,51,1469,5543,2259,17,High,Excellent,Very High,High,Low,Good,No,2,4,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
947,No,Female,Between 25 to 31,College,Marketing,Married,Sales,Sales Executive,2,20 - 30 km,Non-Travel,45,1188,24406,6932,13,High,Excellent,Very High,High,Very High,Good,No,1,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
949,No,Male,Between 32 to 38,Master,Other,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,65,188,23293,4678,18,High,Excellent,Medium,Very High,High,Better,No,0,2,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
950,No,Female,Between 32 to 38,Bachelor,Technical Degree,Married,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,80,1333,16292,13582,13,High,Excellent,Very High,Low,Medium,Better,No,1,1,11 - 20 years,3,11 - 20 years,11 - 15 years,0 - 5 years,11 - 15 years
951,No,Female,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Non-Travel,70,1184,3974,2332,20,Medium,Outstanding,High,Medium,High,Better,No,0,6,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
952,Yes,Male,Between 25 to 31,College,Marketing,Married,Sales,Sales Representative,1,10 - 19 km,Travel_Rarely,36,867,18798,2413,18,Medium,Excellent,High,Medium,High,Better,Yes,3,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
954,No,Male,Between 39 to 44,Master,Marketing,Divorced,Sales,Sales Executive,3,10 - 19 km,Travel_Rarely,67,658,20652,9705,12,Medium,Excellent,Low,Medium,Medium,Good,No,1,2,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
956,No,Male,Between 25 to 31,Bachelor,Medical,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Frequently,52,1283,11148,4294,12,Medium,Excellent,High,Low,Medium,Better,No,0,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
957,No,Male,Between 39 to 44,Bachelor,Medical,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,59,263,3119,4721,13,High,Excellent,Very High,Low,High,Better,Yes,0,2,11 - 20 years,3,11 - 20 years,11 - 15 years,0 - 5 years,16 - 20 years
958,No,Male,Between 32 to 38,Master,Medical,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,79,938,12287,2519,21,High,Outstanding,High,High,High,Better,No,0,4,11 - 20 years,6,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
959,Yes,Male,Between 18 to 24,Bachelor,Other,Single,Sales,Sales Representative,1,20 - 30 km,Travel_Rarely,37,419,9947,2121,13,Medium,Excellent,Very High,Medium,Medium,Best,Yes,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
960,Yes,Male,Between 18 to 24,Bachelor,Technical Degree,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,84,129,13008,2973,19,High,Excellent,Low,Low,Medium,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
961,No,Female,Between 25 to 31,Bachelor,Medical,Married,Research & Development,Healthcare Representative,2,10 - 19 km,Travel_Rarely,41,616,17369,5855,11,High,Excellent,Very High,Very High,High,Bad,Yes,2,0,0 - 10 years,2,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
964,No,Male,Between 39 to 44,Master,Medical,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Travel_Frequently,35,1469,25063,3617,14,High,Excellent,Very High,Medium,Very High,Better,Yes,1,8,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
966,No,Female,Between 32 to 38,Master,Medical,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,93,498,13554,6725,12,High,Excellent,High,Low,High,Best,No,1,1,0 - 10 years,2,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
967,Yes,Male,Between 32 to 38,Below college,Life Sciences,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,51,530,5518,10325,11,Medium,Excellent,High,Very High,Low,Better,Yes,1,1,11 - 20 years,6,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
969,No,Female,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Healthcare Representative,2,1 - 9 km,Travel_Rarely,42,1069,12291,6949,14,Medium,Excellent,Medium,Very High,Low,Better,No,0,0,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
970,Yes,Male,Between 32 to 38,Master,Life Sciences,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,46,625,14922,10609,11,Medium,Excellent,Low,High,High,Bad,No,0,5,11 - 20 years,2,11 - 20 years,0 - 5 years,11 - 15 Years,6 - 10 years
972,No,Male,Between 45 to 51,College,Life Sciences,Married,Research & Development,Laboratory Technician,2,1 - 9 km,Non-Travel,57,805,23163,4447,12,High,Excellent,High,Medium,Medium,Good,No,0,1,0 - 10 years,5,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
974,No,Female,Between 25 to 31,Bachelor,Technical Degree,Married,Sales,Sales Representative,1,20 - 30 km,Travel_Frequently,84,1404,18203,2157,15,High,Excellent,High,Very High,Medium,Better,No,1,1,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
975,No,Female,Between 32 to 38,Bachelor,Medical,Married,Sales,Sales Executive,2,10 - 19 km,Travel_Rarely,86,1219,6179,4601,16,High,Excellent,High,High,Medium,Better,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
976,No,Male,52 and more than 52,College,Life Sciences,Married,Research & Development,Manager,4,1 - 9 km,Travel_Rarely,70,1053,13829,17099,15,High,Excellent,Very High,Very High,Medium,Good,No,1,2,21 - 30 years,2,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
977,Yes,Male,52 and more than 52,Bachelor,Technical Degree,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,51,289,26227,2479,24,High,Outstanding,Very High,High,Low,Better,No,0,4,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
981,No,Male,52 and more than 52,College,Medical,Divorced,Sales,Manager,4,1 - 9 km,Travel_Rarely,45,1376,13938,14852,13,High,Excellent,High,High,High,Best,No,1,6,21 - 30 years,3,11 - 20 years,11 - 15 years,11 - 15 Years,0 - 5 years
982,No,Male,Between 25 to 31,College,Other,Divorced,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,62,231,9977,7264,11,High,Excellent,High,High,Low,Best,No,1,5,0 - 10 years,2,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
983,No,Female,Between 32 to 38,Bachelor,Technical Degree,Single,Sales,Sales Executive,2,10 - 19 km,Non-Travel,85,152,19899,5666,13,High,Excellent,High,Very High,Medium,Better,Yes,0,1,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
984,No,Male,Between 32 to 38,Master,Life Sciences,Divorced,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,92,882,6812,7823,13,High,Excellent,Very High,Very High,Medium,Better,No,1,6,11 - 20 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
985,No,Male,Between 39 to 44,Doctor,Life Sciences,Single,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,41,903,2560,7880,18,Very High,Excellent,Low,High,Very High,Better,No,0,0,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
986,Yes,Female,Between 39 to 44,Bachelor,Life Sciences,Single,Sales,Sales Executive,4,20 - 30 km,Non-Travel,100,1479,17071,13194,16,Very High,Excellent,Medium,Medium,Very High,Good,Yes,0,4,21 - 30 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
987,No,Male,Between 45 to 51,Master,Medical,Divorced,Research & Development,Manufacturing Director,2,10 - 19 km,Travel_Frequently,64,1379,6759,5067,19,Very High,Excellent,High,High,High,Best,Yes,0,1,11 - 20 years,3,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
990,No,Male,Between 32 to 38,Master,Technical Degree,Divorced,Sales,Sales Executive,2,1 - 9 km,Non-Travel,84,1229,25952,5079,13,High,Excellent,Low,Very High,Very High,Better,No,2,4,11 - 20 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
991,Yes,Male,Between 25 to 31,College,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Non-Travel,46,335,10322,2321,22,Medium,Outstanding,High,Low,Low,Better,Yes,0,0,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
992,No,Male,Between 32 to 38,Bachelor,Life Sciences,Single,Sales,Manager,4,10 - 19 km,Non-Travel,38,722,20489,17444,11,High,Excellent,Very High,High,Very High,Better,No,0,1,0 - 10 years,2,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
994,Yes,Female,Between 25 to 31,Bachelor,Life Sciences,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,92,906,11479,2404,20,Medium,Outstanding,Very High,Low,High,Better,Yes,0,6,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
995,No,Female,Between 32 to 38,Below college,Life Sciences,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,53,461,17241,3452,18,High,Excellent,Medium,Very High,Low,Better,No,0,3,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
996,No,Female,Between 45 to 51,Master,Medical,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,91,974,11005,2270,14,High,Excellent,Very High,Very High,Very High,Better,No,2,3,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
997,No,Male,Between 45 to 51,College,Medical,Divorced,Research & Development,Research Director,4,1 - 9 km,Travel_Rarely,66,1126,6615,17399,22,High,Outstanding,Very High,Very High,High,Good,No,1,9,More than 31 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
998,No,Female,Between 32 to 38,Master,Other,Married,Research & Development,Healthcare Representative,2,1 - 9 km,Travel_Frequently,84,827,20161,5488,13,Very High,Excellent,High,Medium,Low,Better,Yes,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
999,No,Male,Between 39 to 44,Bachelor,Medical,Divorced,Research & Development,Research Director,5,1 - 9 km,Travel_Frequently,64,840,3735,19419,17,High,Excellent,Low,High,Medium,Best,No,1,2,21 - 30 years,2,11 - 20 years,16 - 20 years,0 - 5 years,11 - 15 years
1001,No,Female,Between 25 to 31,Master,Technical Degree,Married,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,37,1134,12086,2811,14,High,Excellent,High,Medium,Medium,Better,No,1,9,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1002,No,Male,Between 45 to 51,College,Life Sciences,Married,Research & Development,Laboratory Technician,2,20 - 30 km,Non-Travel,42,248,14039,3633,15,High,Excellent,Very High,Low,High,Better,Yes,1,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
1003,No,Female,Between 45 to 51,College,Life Sciences,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,83,955,8571,4163,17,High,Excellent,Very High,Very High,High,Better,Yes,0,1,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
1004,Yes,Female,Between 25 to 31,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,20 - 30 km,Travel_Rarely,48,138,11539,2132,11,High,Excellent,Low,High,Medium,Better,Yes,0,4,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1005,No,Male,Between 45 to 51,Bachelor,Life Sciences,Married,Research & Development,Manufacturing Director,4,20 - 30 km,Travel_Rarely,95,939,4161,13973,18,High,Excellent,Very High,High,Very High,Better,Yes,1,3,21 - 30 years,2,11 - 20 years,11 - 15 years,0 - 5 years,0 - 5 years
1006,No,Male,Between 32 to 38,Below college,Medical,Married,Research & Development,Research Scientist,1,10 - 19 km,Travel_Frequently,66,1391,12127,2684,17,High,Excellent,High,High,Medium,Good,No,1,0,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1007,No,Male,Between 45 to 51,College,Medical,Divorced,Research & Development,Manufacturing Director,3,1 - 9 km,Travel_Rarely,75,566,24208,10845,13,High,Excellent,Very High,High,Medium,Better,No,1,6,11 - 20 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
1009,No,Female,Between 18 to 24,Below college,Medical,Divorced,Research & Development,Manufacturing Director,2,10 - 19 km,Travel_Rarely,41,1206,24117,4377,15,Medium,Excellent,Very High,High,Medium,Better,No,2,1,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1010,Yes,Male,Between 32 to 38,Master,Other,Divorced,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,39,622,10074,3743,24,Medium,Outstanding,High,Medium,Very High,Bad,Yes,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1011,No,Female,Between 25 to 31,Below college,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Frequently,96,853,11275,4148,12,High,Excellent,High,Low,High,Better,No,1,1,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1012,No,Male,Between 18 to 24,College,Life Sciences,Single,Research & Development,Research Scientist,1,1 - 9 km,Non-Travel,73,287,13493,1051,15,High,Excellent,Medium,Very High,Very High,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1013,No,Female,52 and more than 52,Bachelor,Technical Degree,Married,Research & Development,Manufacturing Director,3,10 - 19 km,Travel_Rarely,56,1441,13943,10739,11,High,Excellent,High,High,High,Better,No,1,8,21 - 30 years,2,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
1014,No,Female,Between 32 to 38,Master,Medical,Divorced,Research & Development,Healthcare Representative,3,20 - 30 km,Travel_Rarely,57,583,6975,10388,11,High,Excellent,High,High,High,Good,Yes,1,1,11 - 20 years,3,11 - 20 years,6 - 10 years,6 - 10 years,0 - 5 years
1015,No,Female,Between 25 to 31,College,Life Sciences,Married,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,73,153,17802,11416,12,Very High,Excellent,Medium,Low,High,Good,Yes,3,0,0 - 10 years,4,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
1016,Yes,Female,Between 18 to 24,Bachelor,Medical,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,98,1097,18275,2600,15,Medium,Excellent,Very High,Low,Low,Better,Yes,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1017,Yes,Female,Between 25 to 31,Bachelor,Medical,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Frequently,60,109,25725,2422,17,High,Excellent,Medium,Medium,Low,Better,No,0,0,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1018,No,Male,Between 25 to 31,College,Medical,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,32,1066,3334,5472,12,Very High,Excellent,Very High,Very High,Medium,Better,No,0,1,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
1019,No,Male,Between 18 to 24,Below college,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,94,217,6881,2451,15,Low,Excellent,Medium,Low,Low,Good,No,1,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1022,No,Male,Between 45 to 51,Bachelor,Life Sciences,Single,Research & Development,Healthcare Representative,2,1 - 9 km,Travel_Rarely,97,277,13119,4240,13,Medium,Excellent,Low,High,Very High,Better,No,0,2,11 - 20 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1024,No,Male,Between 45 to 51,Master,Life Sciences,Single,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Rarely,78,1355,22245,10999,14,Medium,Excellent,High,High,Medium,Better,No,0,7,21 - 30 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
1025,No,Female,Between 39 to 44,College,Medical,Single,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,42,549,23371,5003,14,High,Excellent,Very High,High,Medium,Better,No,0,6,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1026,No,Female,Between 39 to 44,Below college,Life Sciences,Married,Research & Development,Manufacturing Director,4,1 - 9 km,Travel_Rarely,65,466,7060,12742,16,Medium,Excellent,Very High,Very High,High,Better,No,1,1,21 - 30 years,3,21 - 30 years,6 - 10 years,11 - 15 Years,6 - 10 years
1027,No,Female,Between 25 to 31,Master,Life Sciences,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,47,1055,4658,4227,18,High,Excellent,Low,Very High,Medium,Better,No,1,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1028,No,Male,Between 32 to 38,Bachelor,Other,Divorced,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,45,802,9541,3917,20,High,Outstanding,Medium,Very High,Low,Good,No,1,1,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1029,No,Male,Between 39 to 44,College,Marketing,Married,Sales,Manager,5,1 - 9 km,Travel_Rarely,90,265,7770,18303,13,High,Excellent,Very High,High,Medium,Best,No,0,6,21 - 30 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1030,No,Male,Between 45 to 51,Bachelor,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,64,804,20165,2380,18,High,Excellent,Low,Very High,Medium,Better,No,0,4,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1032,No,Female,52 and more than 52,Bachelor,Life Sciences,Single,Research & Development,Manufacturing Director,4,1 - 9 km,Travel_Rarely,69,715,21829,13726,13,Medium,Excellent,High,Very High,Low,Better,Yes,0,3,21 - 30 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1033,Yes,Female,Between 32 to 38,College,Medical,Married,Research & Development,Healthcare Representative,2,10 - 19 km,Travel_Rarely,61,1141,14382,4777,15,Low,Excellent,Low,Medium,Low,Bad,No,0,5,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1034,No,Male,52 and more than 52,Master,Medical,Married,Research & Development,Healthcare Representative,2,10 - 19 km,Travel_Frequently,62,135,12992,6385,14,High,Excellent,High,Medium,Very High,Better,Yes,2,3,11 - 20 years,3,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
1035,No,Female,Between 39 to 44,Below college,Life Sciences,Divorced,Research & Development,Research Director,5,1 - 9 km,Non-Travel,55,247,20284,19973,22,Low,Outstanding,Medium,High,Medium,Better,No,2,1,21 - 30 years,3,21 - 30 years,16 - 20 years,0 - 5 years,6 - 10 years
1036,No,Male,Between 32 to 38,Master,Life Sciences,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,42,1035,4981,6861,12,High,Excellent,Medium,Very High,High,Better,Yes,0,8,11 - 20 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1037,Yes,Male,Between 25 to 31,College,Medical,Single,Sales,Sales Executive,2,20 - 30 km,Non-Travel,79,265,21813,4969,18,Low,Excellent,Medium,Low,Very High,Better,No,0,8,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1038,Yes,Female,52 and more than 52,Below college,Marketing,Married,Sales,Manager,5,1 - 9 km,Travel_Rarely,57,266,25846,19845,15,Low,Excellent,Low,Very High,Very High,Better,No,1,1,More than 31 years,3,More than 31 years,11 - 15 years,6 - 10 years,6 - 10 years
1039,No,Female,Between 39 to 44,Bachelor,Medical,Married,Sales,Sales Executive,4,20 - 30 km,Travel_Rarely,53,1448,11737,13320,18,Very High,Excellent,Very High,Very High,High,Better,Yes,1,3,21 - 30 years,2,11 - 20 years,11 - 15 years,11 - 15 Years,11 - 15 years
1040,No,Female,Between 45 to 51,Bachelor,Life Sciences,Married,Sales,Sales Executive,2,1 - 9 km,Non-Travel,95,145,24920,6347,12,High,Excellent,Very High,High,Low,Better,No,1,0,11 - 20 years,3,11 - 20 years,6 - 10 years,0 - 5 years,11 - 15 years
1042,Yes,Female,Between 32 to 38,Master,Life Sciences,Single,Research & Development,Laboratory Technician,1,10 - 19 km,Travel_Rarely,43,885,8269,2743,16,Very High,Excellent,High,Low,High,Better,No,0,1,11 - 20 years,1,11 - 20 years,11 - 15 years,11 - 15 Years,11 - 15 years
1043,No,Female,Between 39 to 44,Bachelor,Medical,Single,Research & Development,Manufacturing Director,3,20 - 30 km,Travel_Frequently,82,945,5083,10880,13,High,Excellent,Very High,Low,High,Better,Yes,0,1,21 - 30 years,2,21 - 30 years,6 - 10 years,0 - 5 years,6 - 10 years
1044,No,Female,Between 32 to 38,Below college,Life Sciences,Single,Sales,Sales Representative,1,1 - 9 km,Non-Travel,88,1038,21437,2342,19,Medium,Excellent,Medium,Very High,Very High,Good,No,0,0,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1045,No,Female,Between 45 to 51,College,Life Sciences,Married,Sales,Manager,4,10 - 19 km,Travel_Rarely,90,1234,5404,17650,13,High,Excellent,Very High,Very High,Medium,Best,No,1,3,21 - 30 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1046,No,Female,Between 32 to 38,Master,Medical,Single,Research & Development,Laboratory Technician,1,20 - 30 km,Non-Travel,69,1109,11135,4025,12,High,Excellent,Very High,High,Medium,Better,No,0,9,0 - 10 years,2,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
1047,No,Male,Between 32 to 38,Master,Marketing,Divorced,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,75,216,12278,9725,11,Very High,Excellent,Medium,Very High,Very High,Good,No,1,0,11 - 20 years,2,11 - 20 years,0 - 5 years,0 - 5 years,6 - 10 years
1048,No,Male,52 and more than 52,College,Technical Degree,Married,Sales,Manager,3,1 - 9 km,Travel_Rarely,66,1089,11038,11904,14,High,Excellent,Medium,Very High,High,Bad,Yes,1,3,11 - 20 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1049,No,Male,Between 45 to 51,Master,Medical,Single,Human Resources,Human Resources,1,20 - 30 km,Travel_Rarely,36,788,8318,2177,16,High,Excellent,Medium,Medium,Low,Better,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1050,No,Female,52 and more than 52,Bachelor,Marketing,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Frequently,38,124,23537,7525,12,Medium,Excellent,High,Medium,Low,Better,No,1,2,21 - 30 years,2,11 - 20 years,6 - 10 years,6 - 10 years,11 - 15 years
1052,Yes,Male,Between 32 to 38,Bachelor,Other,Divorced,Research & Development,Laboratory Technician,2,10 - 19 km,Travel_Rarely,81,660,7858,4834,14,High,Excellent,Low,High,Medium,Good,No,1,7,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
1053,Yes,Male,Between 25 to 31,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Frequently,57,342,15346,2042,14,High,Excellent,Low,Low,Medium,Better,Yes,1,6,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
